x,y,landsat_b0,landsat_b1,landsat_b2,landsat_b3,landsat_b4,landsat_b5,landsat_b6,landsat_b7,landsat_b8,landsat_b9,ndvi,ndwi,ntl,hrsl,road_dist_m,no_class,closed_forest,open_forest,shrubs,hb_veg,hb_waste,moss,bare,cropland,urban,snow,water,sea,building_area_sn,building_area_ss3_1,building_area_ss2_1,landsat_b0_context_3x3,landsat_b1_context_3x3,landsat_b2_context_3x3,landsat_b3_context_3x3,landsat_b4_context_3x3,landsat_b5_context_3x3,landsat_b6_context_3x3,landsat_b7_context_3x3,landsat_b8_context_3x3,landsat_b9_context_3x3,ndvi_context_3x3,ndwi_context_3x3,ntl_context_3x3,hrsl_context_3x3,road_dist_m_context_3x3,no_class_context_3x3,closed_forest_context_3x3,open_forest_context_3x3,shrubs_context_3x3,hb_veg_context_3x3,hb_waste_context_3x3,moss_context_3x3,bare_context_3x3,cropland_context_3x3,urban_context_3x3,snow_context_3x3,water_context_3x3,sea_context_3x3,building_area_sn_context_3x3,building_area_ss3_1_context_3x3,building_area_ss2_1_context_3x3,landsat_b0_context_5x5,landsat_b1_context_5x5,landsat_b2_context_5x5,landsat_b3_context_5x5,landsat_b4_context_5x5,landsat_b5_context_5x5,landsat_b6_context_5x5,landsat_b7_context_5x5,landsat_b8_context_5x5,landsat_b9_context_5x5,ndvi_context_5x5,ndwi_context_5x5,ntl_context_5x5,hrsl_context_5x5,road_dist_m_context_5x5,no_class_context_5x5,closed_forest_context_5x5,open_forest_context_5x5,shrubs_context_5x5,hb_veg_context_5x5,hb_waste_context_5x5,moss_context_5x5,bare_context_5x5,cropland_context_5x5,urban_context_5x5,snow_context_5x5,water_context_5x5,sea_context_5x5,building_area_sn_context_5x5,building_area_ss3_1_context_5x5,building_area_ss2_1_context_5x5,pop,fold
116,10,11042.25,10369.3125,10131.25,10498.8125,17130.5,18560.8125,15533.5625,10311.6875,5049.125,32088.4375,0.24002361297607422,-0.04007452726364136,1.4749999046325684,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,303.5,627.25,822.25,11068.572265625,10397.779296875,10202.7294921875,10647.65625,17011.8359375,18804.013671875,15784.8544921875,10312.919921875,5053.80517578125,32106.09765625,0.2299772948026657,-0.050076454877853394,1.4749999046325684,0.6666666666666666,66.66666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,380.75,428.9166564941406,542.6944580078125,11035.3515625,10351.693359375,10118.84765625,10594.80078125,16811.884765625,18637.279296875,15639.00390625,10231.0390625,5054.869140625,32124.42578125,0.22680623829364777,-0.05134857818484306,1.5355000495910645,0.52,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,733.9600219726562,407.57000732421875,506.45001220703125,5.0,0
117,10,11035.3125,10361.875,10147.625,10561.25,17001.3125,18434.8125,15427.5625,10177.5625,5053.3125,31977.0,0.2336525321006775,-0.040453068912029266,1.809999942779541,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,546.0,890.5,1109.5,10986.7607421875,10294.69921875,10067.5498046875,10536.2001953125,16828.650390625,18544.6015625,15612.8017578125,10176.3369140625,5053.94091796875,32103.7578125,0.2297506034374237,-0.04869752377271652,1.6983332633972168,0.5555555555555556,66.66666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,717.3333129882812,422.9166564941406,559.0,10963.271484375,10262.3828125,10025.494140625,10575.1875,16625.115234375,18525.5546875,15608.7021484375,10167.3701171875,5054.7998046875,32135.072265625,0.2223312258720398,-0.054029032588005066,1.6825000047683716,0.56,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,856.260009765625,460.489990234375,555.5700073242188,4.0,0
118,11,10885.83984375,10152.400390625,9782.8798828125,10147.0400390625,15757.400390625,17852.51953125,15272.2802734375,9847.3203125,5056.27978515625,32294.83984375,0.21657909452915192,-0.062336329370737076,1.809999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,591.0,269.75,389.25,10960.8525390625,10256.369140625,10013.9228515625,10569.5146484375,16436.396484375,18515.283203125,15734.173828125,10165.0966796875,5055.064453125,32226.47265625,0.2171325385570526,-0.05958729237318039,1.809999942779541,0.3333333333333333,55.55555725097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1122.52783203125,502.5833435058594,597.2222290039062,10965.3525390625,10263.4013671875,10032.337890625,10609.87890625,16607.6328125,18610.138671875,15733.6796875,10183.056640625,5054.6689453125,32174.095703125,0.22029238939285278,-0.05687027797102928,1.7405999898910522,0.48,57.656856536865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,924.9199829101562,406.4200134277344,533.1900024414062,3.0,0
119,12,11021.6875,10315.125,10043.0,10573.25,16298.8125,18500.3125,15788.375,10157.125,5053.8125,32231.0,0.21306747198104858,-0.06326308846473694,1.809999942779541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1157.0,433.5,527.75,11008.32421875,10302.92578125,10043.958984375,10569.65625,16322.73828125,18389.240234375,15649.701171875,10174.640625,5055.91259765625,32214.103515625,0.21396242082118988,-0.05948340892791748,1.7994444370269775,0.4444444444444444,33.33333206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,974.3333129882812,544.3055419921875,672.1666870117188,11035.1484375,10350.4873046875,10113.4140625,10677.7158203125,16497.435546875,18506.953125,15666.8720703125,10281.287109375,5056.0546875,32163.73828125,0.21421311795711517,-0.05733643099665642,1.7877999544143677,0.56,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1068.1600341796875,573.1900024414062,687.2899780273438,6.0,0
111,14,11168.0,10548.75,10427.400390625,11099.2001953125,17800.849609375,19770.55078125,16442.400390625,10596.599609375,5056.10009765625,31991.0,0.23189057409763336,-0.05242554843425751,0.9099999666213989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,714.5,312.5,336.25,11191.08984375,10578.3662109375,10465.970703125,11151.8564453125,17800.55859375,19588.08984375,16254.923828125,10662.03515625,5057.56201171875,31974.896484375,0.2296634465456009,-0.047695133835077286,0.9608333110809326,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,844.111083984375,405.72222900390625,563.8055419921875,11256.7958984375,10657.8779296875,10550.740234375,11245.46875,17807.236328125,19710.962890625,16396.87890625,10752.8173828125,5057.6494140625,31989.732421875,0.22599749267101288,-0.05048704147338867,0.9942999482154846,0.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,744.5499877929688,354.4800109863281,473.739990234375,2.0,0
117,14,11031.4501953125,10374.5,10237.599609375,10866.2001953125,16781.19921875,18594.349609375,15377.900390625,10357.349609375,5054.35009765625,32127.55078125,0.21394415199756622,-0.05125434324145317,1.149999976158142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,805.75,204.0,389.5,11120.4609375,10482.44921875,10368.876953125,11035.7783203125,16924.0703125,19105.435546875,16021.9169921875,10558.841796875,5055.22607421875,32171.4765625,0.21070632338523865,-0.060352522879838943,1.195555567741394,0.4444444444444444,22.22222137451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,675.5833129882812,307.6944580078125,408.3888854980469,11130.134765625,10479.3115234375,10317.7001953125,10904.75,16875.01171875,18941.623046875,15867.548828125,10462.5146484375,5056.150390625,32177.95703125,0.21494124829769135,-0.0575031079351902,1.218400001525879,0.36,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,700.4400024414062,389.1300048828125,491.04998779296875,4.0,0
111,15,11106.6875,10481.0625,10415.8125,11112.5625,17848.1875,19451.0625,16016.3125,10568.5,5056.25,32001.3125,0.23257771134376526,-0.04297338426113129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,374.0,297.0,439.5,11158.0068359375,10532.31640625,10413.9755859375,11080.8828125,17744.98828125,19441.376953125,16024.3681640625,10603.6064453125,5057.49951171875,31989.78125,0.23126278817653656,-0.04540965333580971,0.9399999976158142,0.6666666666666666,22.22222137451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,990.9722290039062,191.63888549804688,270.8333435058594,11258.412109375,10662.64453125,10573.1640625,11296.8154296875,17847.28125,19706.259765625,16381.2275390625,10787.130859375,5057.16943359375,31999.5859375,0.22491760551929474,-0.04931822419166565,0.9524999856948853,0.76,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,789.9299926757812,369.5400085449219,461.0899963378906,9.0,0
112,15,11168.150390625,10543.75,10463.0498046875,11136.599609375,17911.150390625,19308.25,15885.900390625,10641.150390625,5056.75,31986.44921875,0.23322118818759918,-0.0375368669629097,0.8199999928474426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1062.25,124.25,137.25,11222.4716796875,10614.3701171875,10526.869140625,11238.931640625,17851.251953125,19546.89453125,16197.9462890625,10730.095703125,5056.1787109375,32008.708984375,0.22756189107894897,-0.045081499963998795,0.8799999952316284,0.7777777777777778,11.11111068725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,873.5277709960938,326.6666564941406,365.9166564941406,11248.072265625,10651.1826171875,10565.5498046875,11291.37109375,17855.880859375,19691.099609375,16349.48828125,10777.818359375,5057.04931640625,32023.619140625,0.22535638511180878,-0.04868350923061371,0.9194999933242798,0.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,816.739990234375,355.0,454.70001220703125,4.0,0
113,15,11371.0625,10805.9375,10815.1875,11659.8125,18414.0625,20229.4375,16944.125,11122.75,5053.5625,32016.1875,0.22458861768245697,-0.04697749763727188,0.8199999928474426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,633.25,546.75,445.5,11298.896484375,10711.7822265625,10640.8857421875,11393.24609375,17946.943359375,19768.2578125,16469.12109375,10869.72265625,5055.728515625,32038.271484375,0.2236081212759018,-0.04799263924360275,0.8299999833106995,0.6666666666666666,11.11111068725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,892.861083984375,348.6666564941406,405.72222900390625,11227.798828125,10622.3740234375,10531.2939453125,11238.255859375,17734.17578125,19601.01953125,16279.58203125,10726.6865234375,5056.361328125,32049.990234375,0.22430603206157684,-0.049847956746816635,0.8864999413490295,0.52,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,803.280029296875,382.70001220703125,476.29998779296875,7.0,0
118,15,11225.2998046875,10634.099609375,10641.5498046875,11493.0,17014.05078125,19593.25,16545.599609375,10836.650390625,5056.7001953125,32267.599609375,0.19367316365242004,-0.0704558715224266,1.149999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,361.25,347.5,381.0,11153.6982421875,10514.232421875,10366.7587890625,10995.3759765625,16711.0703125,18814.361328125,15743.935546875,10515.00390625,5057.171875,32210.986328125,0.20644500851631165,-0.05882461369037628,1.149999976158142,0.2222222222222222,22.22222137451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,537.9444580078125,373.8611145019531,427.22222900390625,11134.77734375,10491.5712890625,10341.783203125,10976.2646484375,16912.48046875,18886.494140625,15814.0009765625,10508.8896484375,5056.44677734375,32168.689453125,0.21292094886302948,-0.0549943633377552,1.2333999872207642,0.56,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0,722.7000122070312,369.8699951171875,455.25,3.0,0
