x,y,landsat_b0,landsat_b1,landsat_b2,landsat_b3,landsat_b4,landsat_b5,landsat_b6,landsat_b7,landsat_b8,landsat_b9,ndvi,ndwi,ntl,hrsl,road_dist_m,no_class,closed_forest,open_forest,shrubs,hb_veg,hb_waste,moss,bare,cropland,urban,snow,water,sea,building_area_sn,building_area_ss3_1,building_area_ss2_1,landsat_b0_context_3x3,landsat_b1_context_3x3,landsat_b2_context_3x3,landsat_b3_context_3x3,landsat_b4_context_3x3,landsat_b5_context_3x3,landsat_b6_context_3x3,landsat_b7_context_3x3,landsat_b8_context_3x3,landsat_b9_context_3x3,ndvi_context_3x3,ndwi_context_3x3,ntl_context_3x3,hrsl_context_3x3,road_dist_m_context_3x3,no_class_context_3x3,closed_forest_context_3x3,open_forest_context_3x3,shrubs_context_3x3,hb_veg_context_3x3,hb_waste_context_3x3,moss_context_3x3,bare_context_3x3,cropland_context_3x3,urban_context_3x3,snow_context_3x3,water_context_3x3,sea_context_3x3,building_area_sn_context_3x3,building_area_ss3_1_context_3x3,building_area_ss2_1_context_3x3,landsat_b0_context_5x5,landsat_b1_context_5x5,landsat_b2_context_5x5,landsat_b3_context_5x5,landsat_b4_context_5x5,landsat_b5_context_5x5,landsat_b6_context_5x5,landsat_b7_context_5x5,landsat_b8_context_5x5,landsat_b9_context_5x5,ndvi_context_5x5,ndwi_context_5x5,ntl_context_5x5,hrsl_context_5x5,road_dist_m_context_5x5,no_class_context_5x5,closed_forest_context_5x5,open_forest_context_5x5,shrubs_context_5x5,hb_veg_context_5x5,hb_waste_context_5x5,moss_context_5x5,bare_context_5x5,cropland_context_5x5,urban_context_5x5,snow_context_5x5,water_context_5x5,sea_context_5x5,building_area_sn_context_5x5,building_area_ss3_1_context_5x5,building_area_ss2_1_context_5x5,pop,fold
130,40,8938.3125,8330.125,7851.75,8243.0625,10523.9375,12416.0625,10583.8125,7889.0625,5038.625,28797.25,0.12153647094964981,-0.08248147368431091,0.15000000596046448,1.0,223.60679626464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,757.5,1681.0,1070.5,8922.2197265625,8306.9072265625,7803.48876953125,8191.87841796875,10469.4990234375,12323.6240234375,10479.783203125,7885.181640625,5040.55078125,28675.32421875,0.12175355851650238,-0.08139438927173615,0.16333334147930145,0.4444444444444444,230.20748901367188,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,488.8055419921875,286.8333435058594,243.97222900390625,8913.08203125,8292.8916015625,7769.24267578125,8113.8017578125,10451.498046875,12156.8173828125,10236.083984375,7839.7744140625,5040.5849609375,28495.662109375,0.1256960779428482,-0.07537039369344711,0.17969998717308044,0.2,229.46360778808594,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.2,0.08,0.0,0.0,0.0,381.489990234375,134.8000030517578,149.77000427246094,11.0,0
125,42,8981.48046875,8385.7998046875,7874.080078125,8211.400390625,10457.599609375,12314.599609375,10342.51953125,7965.43994140625,5043.080078125,28419.3203125,0.12031706422567368,-0.08154679834842682,0.10999999940395355,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,273.5,1027.75,640.0,8963.431640625,8362.0322265625,7851.5087890625,8175.2724609375,10481.90625,12223.2705078125,10235.015625,7929.07275390625,5040.5478515625,28438.505859375,0.12358811497688293,-0.076705202460289,0.12166666984558105,0.3333333333333333,165.47691345214844,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,231.27777099609375,312.4444580078125,220.3333282470703,8949.916015625,8344.5390625,7832.087890625,8164.81298828125,10496.00390625,12272.0791015625,10264.4248046875,7905.837890625,5039.0439453125,28477.7109375,0.12488941848278046,-0.07796797901391983,0.13500000536441803,0.56,130.7847442626953,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,284.3399963378906,289.9599914550781,230.8000030517578,4.0,0
130,42,8968.9501953125,8370.099609375,7859.60009765625,8151.60009765625,10654.849609375,12480.099609375,10313.7001953125,7893.9501953125,5046.25,28366.349609375,0.13310590386390686,-0.07889578491449356,0.15000000596046448,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,269.0,217.25,251.5,8972.220703125,8374.59375,7868.060546875,8161.97412109375,10715.876953125,12425.8173828125,10279.09765625,7909.96337890625,5042.9287109375,28389.08203125,0.13526268303394318,-0.0738433301448822,0.1736111044883728,0.3333333333333333,107.22535705566406,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,420.75,163.4166717529297,185.97222900390625,8954.2685546875,8349.5107421875,7838.69580078125,8130.02197265625,10691.21484375,12236.2314453125,10167.734375,7884.1357421875,5041.84326171875,28380.4140625,0.1360751986503601,-0.067051962018013,0.19049999117851257,0.2,111.58727264404297,0.0,0.0,0.28,0.16,0.0,0.0,0.0,0.0,0.52,0.04,0.0,0.0,0.0,415.7799987792969,182.11000061035156,197.41000366210938,3.0,0
118,43,9022.8125,8455.625,7974.875,8359.8125,10792.375,12535.0,10047.6875,8048.1875,5043.5625,27836.4375,0.1270122528076172,-0.07470300793647766,0.17000000178813934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71.5,760.75,260.25,9031.666015625,8459.46875,7986.1494140625,8340.5087890625,10760.6044921875,12243.994140625,10103.8173828125,8043.04150390625,5040.29638671875,27881.322265625,0.12677064538002014,-0.06428802758455276,0.17000000178813934,0.7777777777777778,37.935707092285156,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,328.6388854980469,928.638916015625,497.8611145019531,9014.6767578125,8435.7744140625,7966.26953125,8309.560546875,10805.3798828125,12155.5458984375,10074.8564453125,8026.78515625,5039.04052734375,27948.484375,0.13061782717704773,-0.05852420628070831,0.17000000178813934,0.6,75.57168579101562,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.76,0.08,0.0,0.0,0.0,320.30999755859375,714.0599975585938,382.3599853515625,4.0,0
120,43,9013.75,8442.8125,7935.3125,8259.875,10659.3125,12390.1875,9867.1875,7955.3125,5035.3125,28014.8125,0.12682561576366425,-0.0750938206911087,0.19999998807907104,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,96.25,314.75,279.0,9038.0107421875,8466.173828125,7992.33349609375,8350.6494140625,10774.3681640625,12496.1611328125,10222.1318359375,8047.64306640625,5038.169921875,28105.1171875,0.1267361342906952,-0.07399705052375793,0.19999998807907104,0.8888888888888888,64.76029968261719,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,242.77777099609375,616.75,341.25,9032.265625,8453.51953125,7983.2060546875,8334.44140625,10774.4951171875,12378.349609375,10324.3701171875,8051.38671875,5038.71728515625,28184.7265625,0.12769609689712524,-0.06921453773975372,0.18850000202655792,0.76,69.91483306884766,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.84,0.08,0.0,0.0,0.0,299.0899963378906,695.0399780273438,389.8900146484375,1.0,0
122,44,9082.75,8498.25,8060.7998046875,8401.2998046875,10901.0498046875,12336.5,11036.4501953125,8151.2001953125,5035.14990234375,28628.599609375,0.1295049637556076,-0.061772868037223816,0.19499999284744263,1.0,223.60679626464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,192.25,989.5,735.5,9066.26171875,8493.119140625,8027.916015625,8393.45703125,10710.1279296875,12543.48046875,10697.6279296875,8097.91162109375,5037.13330078125,28517.37109375,0.12124386429786682,-0.07886118441820145,0.1875,0.5555555555555556,183.81338500976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,241.0833282470703,488.5555419921875,348.9444580078125,9040.560546875,8464.55078125,7993.94482421875,8357.2646484375,10727.1328125,12487.244140625,10497.794921875,8086.2236328125,5038.46630859375,28403.275390625,0.12413740903139114,-0.07587649673223495,0.18150000274181366,0.44,143.33787536621094,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,182.1999969482422,365.95001220703125,235.55999755859375,3.0,0
123,44,9032.125,8454.75,7964.375,8317.0625,10511.8125,12434.8125,10521.6875,8040.625,5040.5625,28607.625,0.11656299233436584,-0.08380317687988281,0.18000000715255737,1.0,282.84271240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,297.5,176.75,168.25,9043.06640625,8460.1591796875,7973.8583984375,8303.74609375,10578.3583984375,12374.9853515625,10595.62890625,8045.1572265625,5037.44873046875,28555.53515625,0.12042964994907379,-0.07831022143363953,0.17472222447395325,0.4444444444444444,232.68389892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,217.11111450195312,395.1388854980469,311.77777099609375,9028.7841796875,8444.146484375,7959.54541015625,8294.7060546875,10631.1572265625,12400.5771484375,10511.1923828125,8040.22509765625,5038.5986328125,28482.515625,0.1234528049826622,-0.07682383805513382,0.17249999940395355,0.48,193.03663635253906,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,232.1699981689453,444.3800048828125,304.44000244140625,1.0,0
112,45,8900.0498046875,8256.9501953125,7689.5,7882.7001953125,10245.75,10901.0498046875,9162.2001953125,7716.7998046875,5034.7001953125,27492.099609375,0.13035035133361816,-0.03098812885582447,0.20999999344348907,0.0,583.0951538085938,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.75,174.75,332.0,8913.6533203125,8268.634765625,7681.130859375,7810.61962890625,10182.431640625,10823.1142578125,8989.8798828125,7679.91064453125,5035.6669921875,27485.099609375,0.13179267942905426,-0.03025032766163349,0.20999999344348907,0.0,588.801025390625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,279.52777099609375,317.6944580078125,8918.6865234375,8273.37109375,7685.626953125,7810.845703125,10195.7314453125,10824.6298828125,8983.5517578125,7684.1357421875,5036.7880859375,27474.7890625,0.1323097199201584,-0.029681123793125153,0.20040000975131989,0.0,594.9892578125,0.0,0.0,0.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.7799987792969,194.24000549316406,237.2899932861328,10.0,0
124,46,9105.375,8532.4375,8069.6875,8369.625,10822.3125,12436.8125,10791.1875,8127.875,5037.875,28591.4375,0.12779781222343445,-0.06941361725330353,0.18000000715255737,0.0,223.60679626464844,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,667.75,388.75,9031.0986328125,8449.642578125,7958.8046875,8275.59375,10640.3798828125,12378.2998046875,10554.544921875,8019.47412109375,5038.02587890625,28623.884765625,0.12497905641794205,-0.07549575716257095,0.18000000715255737,0.3333333333333333,219.9893035888672,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,242.11111450195312,295.3888854980469,247.97222900390625,9025.513671875,8442.333984375,7962.513671875,8299.181640625,10685.5595703125,12353.85546875,10559.099609375,8033.16748046875,5037.3701171875,28590.92578125,0.12569068372249603,-0.07242444902658463,0.19310002028942108,0.52,202.68280029296875,0.0,0.0,0.04,0.24,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,291.8800048828125,427.010009765625,325.2900085449219,3.0,0
125,48,9058.6796875,8483.51953125,8040.56005859375,8426.240234375,10851.51953125,12246.759765625,10841.51953125,8121.60009765625,5038.240234375,28694.359375,0.12580710649490356,-0.06040450930595398,0.24000000953674316,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,251.5,628.75,548.5,9037.74609375,8457.8974609375,7990.28466796875,8351.2451171875,10799.6884765625,12283.1767578125,10508.029296875,8076.884765625,5039.61279296875,28608.16015625,0.12788712978363037,-0.06419743597507477,0.24000000953674316,0.6666666666666666,171.80935668945312,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,427.1666564941406,486.8055419921875,410.8055419921875,9033.912109375,8452.904296875,7992.7900390625,8344.6728515625,10819.9970703125,12279.51953125,10459.82421875,8077.837890625,5039.44091796875,28510.484375,0.12920279800891876,-0.06313153356313705,0.23849999904632568,0.4,159.23802185058594,0.0,0.0,0.16,0.2,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,341.69000244140625,375.32000732421875,253.3699951171875,3.0,0
309,241,9151.5625,8547.75,7987.5,8152.625,10503.5625,11675.0,10432.25,8026.8125,5033.3125,27956.75,0.12601381540298462,-0.052818458527326584,0.1550000011920929,1.0,2475.8837890625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.25,2075.0,1139.75,8968.31640625,8310.404296875,7695.22314453125,7550.2099609375,10819.0146484375,10553.0244140625,8968.08984375,7600.44287109375,5034.10888671875,27496.16015625,0.17853353917598724,0.015481763519346714,0.1550000160932541,0.1111111111111111,2475.435302734375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.5555419921875,659.888916015625,460.77777099609375,8896.203125,8212.40234375,7584.83203125,7313.169921875,10953.2646484375,9965.517578125,8206.572265625,7442.23291015625,5032.5751953125,27163.408203125,0.19979697465896606,0.04982960596680641,0.1550000011920929,0.04,2476.046630859375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.469970703125,592.6699829101562,538.280029296875,7.0,0
308,245,8838.2001953125,8132.0,7473.0498046875,7080.5,10899.7998046875,9260.7001953125,7635.10009765625,7280.2001953125,5029.60009765625,27070.0,0.21241578459739685,0.08130253106355667,0.14249999821186066,0.0,2126.029296875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.5,487.5,386.25,8835.2275390625,8132.20068359375,7481.6005859375,7085.81591796875,10998.0947265625,9330.1533203125,7605.7353515625,7287.67724609375,5033.00048828125,26959.26953125,0.21651768684387207,0.08306684345006943,0.14249999821186066,0.0,2127.596435546875,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.3055419921875,820.5277709960938,535.1944580078125,8840.8330078125,8138.1025390625,7489.6201171875,7113.68701171875,10997.6484375,9435.4990234375,7639.10791015625,7307.42333984375,5033.619140625,26893.4140625,0.21469646692276,0.07803558558225632,0.14249999821186066,0.0,2130.539794921875,0.0,0.08,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.6699829101562,594.260009765625,525.6699829101562,5.0,0
